ID,WILLAYA_ID,COMMUNE_ID,COMMUNE,COMMUNE_ARABIC,RISK,CAPITAL_ASSURE
1194,34,31,BIR KASDALI,بئر قصدالي,2,0.0
1195,34,32,GHILASSA,الغسالة,2,43920000.0
1196,34,33,RABTA,الرابطة,2,9836000.0
1197,34,34,HARAZA,الحرازة,2,778649693.05
1198,35,01,BOUMERDES,بومرداس,4,338240000.0
1199,35,02,BOUDOUAOU,بودواو,4,3000000.0
1200,35,04,AFIR,أفير,3,0.0
1201,35,05,BORDJ MENAIEL,برج منايل,3,1100000.0
1202,35,06,BAGHLIA,بغلية,3,0.0
1203,35,07,SIDI DAOUD,سيدي داود,4,0.0
1204,35,08,NACIRIA,الناصرية,3,0.0
1205,35,09,DJINET,جينات,4,0.0
1206,35,10,ISSER,يسر,3,0.0
1207,35,11,ZEMMOURI,زموري,4,0.0
1208,35,12,SI MUSTAPHA,سي مصطفى,4,1000000.0
1209,35,13,TIDJELABINE,تيجلبين,4,0.0
1210,35,14,CHAABET EL AMEUR,شعبة العامر,2,0.0
1211,35,15,THENIA,الثنية,4,0.0
1212,35,18,TIMEZRIT,تمزريت,2,0.0
1213,35,19,CORSO,قورسو,4,0.0
1214,35,20,OULED MOUSSA,أولاد موسى,3,2000000.0
1215,35,21,LARBATACHE,الأربعطاش,3,0.0
1216,35,22,BOUZEGZA KEDARA,بوزرقزق قدارة,3,0.0
1217,35,25,TAOURGA,تورقة,3,0.0
1218,35,26,OULED AISSA,أولاد عيسى,4,0.0
1219,35,27,BENCHOUD,بن شود,3,0.0
1220,35,28,DELLYS,دلس,4,0.0
1221,35,29,AMMAL,عمال,2,129780000.0
1222,35,30,BENI AMRANE,بنى عمران,3,7000000.0
1223,35,31,SOUK EL HAD,سوق الحد,3,0.0
1224,35,32,BOUDOUAOU EL BAHRI,بودودو البحرى,4,43920000.0
1225,35,33,OULED HEDADJ,أولاد ھداج,4,9836000.0
1226,35,35,LEGHATA,لقاطة,4,16039550.0
1227,35,36,HAMMEDI,حمادى,4,0.0
1228,35,37,KHEMIS EL KHECHNA,خميس الخشنة,3,14421400.0
1229,35,38,EL KHARROUBA,الخروبة,3,0.0
1230,36,01,EL TARF,الطارف,2,338240000.0
1231,36,02,BOU HADJAR,بوحجار,2,3000000.0
1232,36,03,BEN M'HIDI,بن مھيدى,2,0.0
1233,36,04,BOUGOUS,بوقوس,2,0.0
1234,36,05,EL KALA,القالة,2,1100000.0
1235,36,06,AIN EL ASSEL,عين العسل,2,0.0
1236,36,07,EL AIOUN,العيون,2,0.0
1237,36,08,BOUTELDJA,بوثلجة,2,0.0
1238,36,09,SOUAREKH,السوارخ,2,0.0
1239,36,10,BERRIHANE,برحان,2,0.0
1240,36,11,LAC DES OISEAUX,بحيرة الطيور,2,0.0
1241,36,12,CHEFIA,الشافية,2,1000000.0
